u,v,k,route_id
87254775,6972003574,0,149
1670874045,87254775,0,149
1670874045,87254775,0,150
87254775,1670874045,0,150
292260668,291827077,0,151
291827077,292260668,0,151
291827077,292260668,0,151
87254775,6972003574,0,152
291827077,292260668,0,153
290968199,3149566891,0,154
3149566891,290968199,0,154
564916703,286481347,0,155
87254775,1670874045,0,156
87254775,1670874045,0,156
3149566890,3149566891,0,157
3149566891,3149566890,0,157
291827077,292260668,0,158
291827077,317985207,0,158
317985207,292260661,0,158
87254775,1670874045,0,159
292260666,8001547604,0,160
286481347,286481369,0,161
1412555491,584359459,0,162
87254775,286481347,0,163
402867330,286481347,0,164
286481347,286481369,0,165
286481369,286481347,0,165
286481347,402867330,0,166
402867330,286481347,0,166
3149566891,290968199,0,167
290968199,3149566891,0,167
290966455,268208616,0,168
290966455,268208616,0,168
268208616,3149566890,0,168
268676330,268676328,0,169
268676330,268676328,0,169
268662846,268829894,0,170
268662846,268829894,0,171
310416398,310416378,0,172
292260664,292260663,0,173
292260663,292260664,0,173
268662846,268829894,0,174
310416378,310416398,0,175
310416378,310416398,0,175
402867330,286481347,0,176
286481347,402867330,0,176
268829894,268662846,0,177
292260663,292260664,0,178
292260663,292260664,0,178
310416398,310416378,0,179
310416398,310416378,0,180
1412555491,584359459,0,181
584359459,710121694,0,181
584359459,710121694,0,181
268662846,268829894,0,182
268662846,268829894,0,183
291324772,291324771,0,184
3149566891,290968199,0,185
290968199,3149566891,0,185
1412555491,584359459,0,186
310416378,310416398,0,187
310416378,310416398,0,187
291324776,291324771,0,188
310416398,310416378,0,189
310416378,310416398,0,190
310416378,310416398,0,190
8001547604,317985207,0,191
310416398,310416378,0,192
310416398,310416378,0,192
268829894,268662846,0,193
292260664,292260663,0,194
292260663,292260664,0,194
402867330,286481347,0,195
402867330,286481347,0,195
310416378,310416398,0,196
310416378,310416398,0,197
310416398,310416378,0,197
310416378,310416398,0,198
268676330,268676328,0,199
268676330,435202749,0,199
290968199,3149566891,0,200
8945601333,354655568,0,201
354654927,8945601333,0,201
584359459,710121694,0,202
292260664,292260663,0,203
310416378,310416398,0,204
310416378,310416398,0,204
623936844,623936846,0,205
623936859,623936844,0,205
8945601333,288760407,0,206
