u,v,key,stadtradeln_abs,nextbike_abs,stadtradeln_norm,nextbike_norm,diff_norm,geometry
21686237,946454577,0,0.0,22.0,0.0,2.26962225129402e-06,-2.26962225129402e-06,"LINESTRING (465484.6894794782 5480206.932547552, 465480.47014141746 5480196.174926308, 465469.4849254876 5480182.124738985)"
21686237,983635609,0,0.0,22.0,0.0,2.26962225129402e-06,-2.26962225129402e-06,"LINESTRING (465484.6894794782 5480206.932547552, 465487.2040517471 5480209.318105081, 465489.0448020792 5480211.696804287, 465490.72834722546 5480214.421150171, 465492.07139399793 5480217.147648246, 465493.4833553921 5480221.608092082, 465494.45332374895 5480226.060211315, 465496.097421999 5480235.15532265, 465498.17649228504 5480250.028956171, 465505.84267020813 5480298.376426048, 465508.55342591216 5480314.624684814)"
21686260,1733135986,0,454.0,0.0,5.986635824503485e-05,0.0,5.986635824503485e-05,"LINESTRING (465560.3224790372 5480463.621480467, 465556.48523175635 5480465.146591148, 465552.50431360217 5480465.716477602, 465551.4103570716 5480465.712261285)"
21686265,287656930,0,437.0,37.0,5.762466641647628e-05,3.817091968085397e-06,5.380757444839088e-05,"LINESTRING (465515.79735317087 5480502.625895446, 465526.15595319733 5480487.540297093)"
21686265,2397577645,0,278.0,37.0,3.6658254608193145e-05,3.817091968085397e-06,3.284116264010775e-05,"LINESTRING (465515.79735317087 5480502.625895446, 465498.32346710935 5480524.393814467)"
21686269,21686272,0,96.0,1167.0,1.2658965620095475e-05,0.00012039314396636915,-0.00010773417834627367,"LINESTRING (465433.1447177806 5480607.922973472, 465425.237863797 5480614.27684823, 465415.8090770131 5480621.674333082)"
21686269,287656902,0,714.0,0.0,9.41510567994601e-05,0.0,9.41510567994601e-05,"LINESTRING (465433.1447177806 5480607.922973472, 465439.03576768696 5480603.560844015, 465444.51123941893 5480598.778873411, 465449.90626170643 5480593.875121325, 465454.6109220333 5480588.631089638, 465458.4975679305 5480583.481179604, 465465.9777429954 5480571.504429285, 465475.7680755755 5480555.9553759685, 465483.02129231486 5480544.736097961)"
21686272,1756359820,0,98.0,0.0,1.292269407051413e-05,0.0,1.292269407051413e-05,"LINESTRING (465415.8090770131 5480621.674333082, 465415.4836209796 5480617.1847891845, 465415.6711041565 5480614.759913636)"
21686272,11289369682,0,0.0,248.0,0.0,2.558483265095077e-05,-2.558483265095077e-05,"LINESTRING (465415.8090770131 5480621.674333082, 465402.9976192327 5480629.137738737)"
21686272,11879371944,0,38.0,919.0,5.010840557954459e-06,9.480831131541838e-05,-8.979747075746393e-05,"LINESTRING (465415.8090770131 5480621.674333082, 465417.51771861396 5480624.943272133)"
21686296,236115165,0,297.0,0.0,3.916367488717038e-05,0.0,3.916367488717038e-05,"LINESTRING (464612.0016178983 5480669.6396820275, 464629.8508014542 5480669.512907044)"
21686296,428277617,0,223.0,0.0,2.9405722221680115e-05,0.0,2.9405722221680115e-05,"LINESTRING (464612.0016178983 5480669.6396820275, 464598.5724375936 5480669.915740909)"
21686313,1751558516,0,3351.0,4098.0,0.00044187701867645765,0.00042276872662740426,1.9108292049053392e-05,"LINESTRING (464197.62512091186 5480699.30193415, 464208.3950675991 5480705.579623489)"
21686358,299214668,0,1025.0,0.0,0.00013516083083956105,0.0,0.00013516083083956105,"LINESTRING (463684.0075197241 5480733.523896296, 463669.6509352738 5480735.931925168, 463651.19860026985 5480740.101646463, 463640.15703682293 5480743.165875249, 463620.12945653935 5480750.103426464, 463601.5780722099 5480757.876169238)"
21686371,1751181433,0,172.0,25.0,2.2680646736004394e-05,2.5791161946522955e-06,2.01015305413521e-05,"LINESTRING (463375.82644651865 5480891.833192285, 463367.1698120802 5480902.63114819, 463362.27653936896 5480907.50026415)"
21686371,1751187804,0,45.0,3188.0,5.933890134419754e-06,0.0003288888971420607,-0.000322955007007641,"LINESTRING (463375.82644651865 5480891.833192285, 463366.6318102244 5480895.863965018, 463361.144709743 5480898.602432133)"
21686374,11052745334,0,1655.0,0.0,0.0002182352927214376,0.0,0.0002182352927214376,"LINESTRING (463324.9949880646 5480959.782295003, 463324.9834875091 5480959.148652594, 463324.9766166978 5480958.125852973, 463324.83816009323 5480947.220134203, 463324.6792465629 5480945.131038666, 463323.5724572513 5480941.047090819)"
21686395,26768323,0,320.0,0.0,4.2196552066984914e-05,0.0,4.2196552066984914e-05,"LINESTRING (462873.136445616 5481474.026537769, 462884.3151898462 5481461.587402739)"
21686411,475100300,0,152.0,2599.0,2.0043362231817835e-05,0.00026812491959605264,-0.0002480815573642348,"LINESTRING (462564.64006098453 5481668.784780226, 462569.40072830697 5481665.905944101, 462579.7370749664 5481659.6423906535)"
21686419,27194975,0,90.0,0.0,1.1867780268839508e-05,0.0,1.1867780268839508e-05,"LINESTRING (462317.62026308506 5481818.386325568, 462413.138960019 5481760.537088739, 462456.4306902102 5481734.3232559385)"
21686419,3236586470,0,0.0,359.0,0.0,3.703610855520696e-05,-3.703610855520696e-05,"LINESTRING (462317.62026308506 5481818.386325568, 462311.8270180027 5481827.976625842)"
21686456,1316107166,0,3658.0,15700.0,0.00048235933581572133,0.0016196849702416415,-0.0011373256344259202,"LINESTRING (462042.6283265657 5481782.624248518, 462040.07238550053 5481750.455605459, 462037.9693521791 5481732.3813541485)"
21686467,21686469,0,158.0,0.0,2.08345475830738e-05,0.0,2.08345475830738e-05,"LINESTRING (461976.98240161105 5481524.266795557, 461969.137924008 5481510.74645025)"
