start_id,end_id,start_lat,start_lon,end_lat,end_lon,count
7853258,339456,49.492344,8.482906,49.490685,8.475705,330
339354,339472,49.493002,8.470325,49.48711,8.456876,325
339475,30612231,49.47996,8.469749,49.500678,8.470904,322
339476,31471276,49.493448,8.458968,49.487604,8.471435,321
31471276,339476,49.487604,8.471435,49.493448,8.458968,321
339475,660945,49.47996,8.469749,49.474531,8.489524,321
339468,660971,49.484576,8.459859,49.456695,8.481027,319
31471276,660951,49.487604,8.471435,49.48275,8.463303,318
339476,7853258,49.493448,8.458968,49.492344,8.482906,317
660951,339466,49.48275,8.463303,49.491183,8.462391,315
339476,660951,49.493448,8.458968,49.48275,8.463303,315
148606240,339352,49.484796,8.462552,49.497225,8.457751,314
148606240,339466,49.484796,8.462552,49.491183,8.462391,312
339343,339346,49.49707,8.473044,49.497263,8.483832,311
660943,339475,49.474329,8.486944,49.47996,8.469749,311
660951,339485,49.48275,8.463303,49.478512,8.482561,307
339476,339487,49.493448,8.458968,49.485371,8.469493,307
339352,339463,49.497225,8.457751,49.487956,8.466007,307
339475,27230822,49.47996,8.469749,49.485956,8.466076,306
1557693,364019650,49.47365,8.46642,49.477839,8.467814,306
339352,660951,49.497225,8.457751,49.48275,8.463303,304
7853258,339343,49.492344,8.482906,49.49707,8.473044,304
660951,339462,49.48275,8.463303,49.489761,8.468437,303
33282192,339476,49.489671,8.466929,49.493448,8.458968,302
7853258,339485,49.492344,8.482906,49.478512,8.482561,300
339349,7853258,49.498946,8.467224,49.492344,8.482906,300
660951,339464,49.48275,8.463303,49.489012,8.462997,297
58196617,339478,49.476208,8.470888,49.470261,8.482255,295
28450544,660951,49.475967,8.483157,49.48275,8.463303,295
339346,339475,49.497263,8.483832,49.47996,8.469749,295
7853258,339354,49.492344,8.482906,49.493002,8.470325,294
28450596,339475,49.479913,8.475652,49.47996,8.469749,293
660951,339487,49.48275,8.463303,49.485371,8.469493,293
339354,28450681,49.493002,8.470325,49.496424,8.47725,288
339354,339350,49.493002,8.470325,49.506903,8.492206,287
148606240,276163348,49.484796,8.462552,49.480781,8.469247,287
339475,29964359,49.47996,8.469749,49.484387,8.473963,286
660939,339478,49.464913,8.475941,49.470261,8.482255,285
339463,30612203,49.487956,8.466007,49.4945,8.459644,285
339487,339472,49.485371,8.469493,49.48711,8.456876,285
339349,339354,49.498946,8.467224,49.493002,8.470325,284
339476,339343,49.493448,8.458968,49.49707,8.473044,282
339476,276163348,49.493448,8.458968,49.480781,8.469247,279
339354,339349,49.493002,8.470325,49.498946,8.467224,277
660951,28450242,49.48275,8.463303,49.473974,8.472009,277
339466,339472,49.491183,8.462391,49.48711,8.456876,275
30612225,58196168,49.497065,8.492131,49.479693,8.471489,274
27230871,660978,49.503921,8.477009,49.508376,8.476054,274
28450242,660951,49.473974,8.472009,49.48275,8.463303,272
339475,660974,49.47996,8.469749,49.494114,8.4676,269
339463,339343,49.487956,8.466007,49.49707,8.473044,269
339343,7853258,49.49707,8.473044,49.492344,8.482906,268
58196168,339475,49.479693,8.471489,49.47996,8.469749,267
30612264,276163348,49.485946,8.46215,49.480781,8.469247,266
276163348,339468,49.480781,8.469247,49.484576,8.459859,266
7853258,27230871,49.492344,8.482906,49.503921,8.477009,265
339472,30612203,49.48711,8.456876,49.4945,8.459644,263
339472,339466,49.48711,8.456876,49.491183,8.462391,262
339472,121376,49.48711,8.456876,49.477082,8.463662,261
28450681,58196168,49.496424,8.47725,49.479693,8.471489,261
7853258,339465,49.492344,8.482906,49.483245,8.474793,261
7853258,339461,49.492344,8.482906,49.485357,8.47665,260
27230822,339472,49.485956,8.466076,49.48711,8.456876,259
339476,339349,49.493448,8.458968,49.498946,8.467224,258
660974,339475,49.494114,8.4676,49.47996,8.469749,258
339354,339346,49.493002,8.470325,49.497263,8.483832,258
339468,364019650,49.484576,8.459859,49.477839,8.467814,257
339346,339354,49.497263,8.483832,49.493002,8.470325,257
339350,339354,49.506903,8.492206,49.493002,8.470325,256
148606240,339343,49.484796,8.462552,49.49707,8.473044,256
339354,30612231,49.493002,8.470325,49.500678,8.470904,255
121376,339472,49.477082,8.463662,49.48711,8.456876,255
660983,339475,49.502211,8.465255,49.47996,8.469749,254
364019650,33282690,49.477839,8.467814,49.46461,8.471902,253
339456,7853258,49.490685,8.475705,49.492344,8.482906,253
339466,276163348,49.491183,8.462391,49.480781,8.469247,253
339475,33282192,49.47996,8.469749,49.489671,8.466929,252
7853258,339349,49.492344,8.482906,49.498946,8.467224,252
339475,660971,49.47996,8.469749,49.456695,8.481027,252
339475,339461,49.47996,8.469749,49.485357,8.47665,251
660974,7853258,49.494114,8.4676,49.492344,8.482906,251
33282192,339475,49.489671,8.466929,49.47996,8.469749,251
28450596,58196168,49.479913,8.475652,49.479693,8.471489,250
339343,339350,49.49707,8.473044,49.506903,8.492206,250
30612203,339472,49.4945,8.459644,49.48711,8.456876,249
30612231,339354,49.500678,8.470904,49.493002,8.470325,249
30612250,660951,49.4908,8.471387,49.48275,8.463303,248
28450681,339354,49.496424,8.47725,49.493002,8.470325,248
660945,339475,49.474531,8.489524,49.47996,8.469749,245
339343,339476,49.49707,8.473044,49.493448,8.458968,245
339343,339354,49.49707,8.473044,49.493002,8.470325,245
30612225,339475,49.497065,8.492131,49.47996,8.469749,244
339478,660939,49.470261,8.482255,49.464913,8.475941,244
339463,339466,49.487956,8.466007,49.491183,8.462391,244
339475,339473,49.47996,8.469749,49.484705,8.463544,243
339485,146888993,49.478512,8.482561,49.48489,8.487298,243
339487,660951,49.485371,8.469493,49.48275,8.463303,243
660951,30612250,49.48275,8.463303,49.4908,8.471387,243
660971,660939,49.456695,8.481027,49.464913,8.475941,242
31471276,339466,49.487604,8.471435,49.491183,8.462391,242
28450596,339472,49.479913,8.475652,49.48711,8.456876,241
276163348,339476,49.480781,8.469247,49.493448,8.458968,241
339346,660951,49.497263,8.483832,49.48275,8.463303,237
339354,339343,49.493002,8.470325,49.49707,8.473044,237
30612231,7853258,49.500678,8.470904,49.492344,8.482906,236
276163348,339466,49.480781,8.469247,49.491183,8.462391,236
339465,7853258,49.483245,8.474793,49.492344,8.482906,235
339464,339476,49.489012,8.462997,49.493448,8.458968,235
276163348,30612264,49.480781,8.469247,49.485946,8.46215,235
339349,148606240,49.498946,8.467224,49.484796,8.462552,235
339349,339463,49.498946,8.467224,49.487956,8.466007,233
27230822,339475,49.485956,8.466076,49.47996,8.469749,232
339487,339476,49.485371,8.469493,49.493448,8.458968,232
339473,339472,49.484705,8.463544,49.48711,8.456876,232
31471648,339478,49.459715,8.487411,49.470261,8.482255,231
339350,660951,49.506903,8.492206,49.48275,8.463303,231
339478,28450242,49.470261,8.482255,49.473974,8.472009,230
339466,31471276,49.491183,8.462391,49.487604,8.471435,230
660951,28450544,49.48275,8.463303,49.475967,8.483157,228
339354,148606240,49.493002,8.470325,49.484796,8.462552,228
33282690,364019650,49.46461,8.471902,49.477839,8.467814,227
28450647,7853258,49.481645,8.478822,49.492344,8.482906,227
339463,339350,49.487956,8.466007,49.506903,8.492206,227
339461,58196168,49.485357,8.47665,49.479693,8.471489,225
7853258,4915747,49.492344,8.482906,49.485698,8.473613,224
339352,148606240,49.497225,8.457751,49.484796,8.462552,223
339475,30612162,49.47996,8.469749,49.478184,8.506728,223
339465,339485,49.483245,8.474793,49.478512,8.482561,223
339475,195402059,49.47996,8.469749,49.478289,8.489728,221
27230871,30612225,49.503921,8.477009,49.497065,8.492131,220
660974,339476,49.494114,8.4676,49.493448,8.458968,220
30612264,339472,49.485946,8.46215,49.48711,8.456876,220
30612250,7853258,49.4908,8.471387,49.492344,8.482906,220
339472,339343,49.48711,8.456876,49.49707,8.473044,220
30612264,660951,49.485946,8.46215,49.48275,8.463303,219
660951,30612264,49.48275,8.463303,49.485946,8.46215,218
28450242,339478,49.473974,8.472009,49.470261,8.482255,218
339466,339463,49.491183,8.462391,49.487956,8.466007,217
28450681,7853258,49.496424,8.47725,49.492344,8.482906,215
339476,33282192,49.493448,8.458968,49.489671,8.466929,215
339468,339463,49.484576,8.459859,49.487956,8.466007,215
364019650,339463,49.477839,8.467814,49.487956,8.466007,215
660951,339456,49.48275,8.463303,49.490685,8.475705,214
339472,28450596,49.48711,8.456876,49.479913,8.475652,214
4915747,339475,49.485698,8.473613,49.47996,8.469749,213
148606240,31471276,49.484796,8.462552,49.487604,8.471435,212
660971,339472,49.456695,8.481027,49.48711,8.456876,212
33282192,148606240,49.489671,8.466929,49.484796,8.462552,211
28450681,660951,49.496424,8.47725,49.48275,8.463303,211
30612264,339466,49.485946,8.46215,49.491183,8.462391,211
339478,31471648,49.470261,8.482255,49.459715,8.487411,211
660978,27230871,49.508376,8.476054,49.503921,8.477009,210
339465,28450544,49.483245,8.474793,49.475967,8.483157,209
339354,7853258,49.493002,8.470325,49.492344,8.482906,209
276163348,339463,49.480781,8.469247,49.487956,8.466007,209
339475,339459,49.47996,8.469749,49.487939,8.478742,208
27230871,339350,49.503921,8.477009,49.506903,8.492206,208
339350,339463,49.506903,8.492206,49.487956,8.466007,208
30612203,339462,49.4945,8.459644,49.489761,8.468437,207
339346,27230871,49.497263,8.483832,49.503921,8.477009,207
339463,660951,49.487956,8.466007,49.48275,8.463303,206
339456,660951,49.490685,8.475705,49.48275,8.463303,206
58196168,28450544,49.479693,8.471489,49.475967,8.483157,206
31471276,28450681,49.487604,8.471435,49.496424,8.47725,205
339476,30612264,49.493448,8.458968,49.485946,8.46215,205
339476,28450681,49.493448,8.458968,49.496424,8.47725,205
28450681,148606240,49.496424,8.47725,49.484796,8.462552,204
339475,660939,49.47996,8.469749,49.464913,8.475941,203
339478,660951,49.470261,8.482255,49.48275,8.463303,203
58196168,339461,49.479693,8.471489,49.485357,8.47665,203
7853258,339463,49.492344,8.482906,49.487956,8.466007,203
339349,339476,49.498946,8.467224,49.493448,8.458968,202
7853258,29964359,49.492344,8.482906,49.484387,8.473963,202
660951,148606240,49.48275,8.463303,49.484796,8.462552,201
7853258,339476,49.492344,8.482906,49.493448,8.458968,201
339343,660983,49.49707,8.473044,49.502211,8.465255,200
339464,660951,49.489012,8.462997,49.48275,8.463303,200
660978,339350,49.508376,8.476054,49.506903,8.492206,200
339461,339475,49.485357,8.47665,49.47996,8.469749,199
29964359,339485,49.484387,8.473963,49.478512,8.482561,199
28450647,660951,49.481645,8.478822,49.48275,8.463303,199
339476,29964359,49.493448,8.458968,49.484387,8.473963,198
