start_id,end_id,start_lat,start_lon,end_lat,end_lon,count
339472,4915747,49.48711,8.456876,49.485698,8.473613,276
7853258,31471276,49.492344,8.482906,49.487604,8.471435,276
339468,28450242,49.484576,8.459859,49.473974,8.472009,273
339476,30612250,49.493448,8.458968,49.4908,8.471387,273
339354,146888993,49.493002,8.470325,49.48489,8.487298,273
339472,1557693,49.48711,8.456876,49.47365,8.46642,272
121376,339464,49.477082,8.463662,49.489012,8.462997,271
339466,339487,49.491183,8.462391,49.485371,8.469493,271
339343,276163348,49.49707,8.473044,49.480781,8.469247,271
339350,7853258,49.506903,8.492206,49.492344,8.482906,269
339462,276163348,49.489761,8.468437,49.480781,8.469247,268
339456,148606240,49.490685,8.475705,49.484796,8.462552,268
339485,339487,49.478512,8.482561,49.485371,8.469493,267
378596026,378596121,49.463125,8.555903,49.467427,8.563108,267
339466,33282192,49.491183,8.462391,49.489671,8.466929,266
660939,28450242,49.464913,8.475941,49.473974,8.472009,266
28450544,364019650,49.475967,8.483157,49.477839,8.467814,264
339468,1557693,49.484576,8.459859,49.47365,8.46642,264
339343,30612264,49.49707,8.473044,49.485946,8.46215,263
339343,29964359,49.49707,8.473044,49.484387,8.473963,263
339465,660951,49.483245,8.474793,49.48275,8.463303,263
660951,33282192,49.48275,8.463303,49.489671,8.466929,262
339481,58196168,49.479502,8.495221,49.479693,8.471489,262
339354,30612264,49.493002,8.470325,49.485946,8.46215,262
339475,28450647,49.47996,8.469749,49.481645,8.478822,262
339463,339485,49.487956,8.466007,49.478512,8.482561,261
339473,148606240,49.484705,8.463544,49.484796,8.462552,260
339487,30612264,49.485371,8.469493,49.485946,8.46215,260
339485,31471276,49.478512,8.482561,49.487604,8.471435,259
339349,28450681,49.498946,8.467224,49.496424,8.47725,259
339475,5582461,49.47996,8.469749,49.481997,8.483387,258
339354,339463,49.493002,8.470325,49.487956,8.466007,257
339461,339472,49.485357,8.47665,49.48711,8.456876,257
28455055,58196168,49.483335,8.480367,49.479693,8.471489,257
339478,28450544,49.470261,8.482255,49.475967,8.483157,256
339343,660951,49.49707,8.473044,49.48275,8.463303,256
28450242,28450544,49.473974,8.472009,49.475967,8.483157,256
339475,27230871,49.47996,8.469749,49.503921,8.477009,256
339464,7853258,49.489012,8.462997,49.492344,8.482906,255
7853258,30612203,49.492344,8.482906,49.4945,8.459644,255
121376,339476,49.477082,8.463662,49.493448,8.458968,254
5582461,58196168,49.481997,8.483387,49.479693,8.471489,253
339350,339462,49.506903,8.492206,49.489761,8.468437,253
30612140,30612162,49.47764,8.522075,49.478184,8.506728,253
339463,28450596,49.487956,8.466007,49.479913,8.475652,253
339352,339464,49.497225,8.457751,49.489012,8.462997,252
339475,31471648,49.47996,8.469749,49.459715,8.487411,252
660971,30612064,49.456695,8.481027,49.468919,8.470824,252
339487,364019650,49.485371,8.469493,49.477839,8.467814,251
339462,339485,49.489761,8.468437,49.478512,8.482561,251
7853258,28450596,49.492344,8.482906,49.479913,8.475652,251
28450544,30612064,49.475967,8.483157,49.468919,8.470824,250
660971,33282690,49.456695,8.481027,49.46461,8.471902,249
28450544,276163348,49.475967,8.483157,49.480781,8.469247,248
339462,339464,49.489761,8.468437,49.489012,8.462997,248
339468,339487,49.484576,8.459859,49.485371,8.469493,247
339468,339485,49.484576,8.459859,49.478512,8.482561,247
121376,364019650,49.477082,8.463662,49.477839,8.467814,247
339343,339466,49.49707,8.473044,49.491183,8.462391,246
660939,4726808,49.464913,8.475941,49.473472,8.53399,246
339354,30612225,49.493002,8.470325,49.497065,8.492131,244
148606240,364019650,49.484796,8.462552,49.477839,8.467814,244
339475,28455055,49.47996,8.469749,49.483335,8.480367,244
660945,28450544,49.474531,8.489524,49.475967,8.483157,244
30612203,276163348,49.4945,8.459644,49.480781,8.469247,243
28450647,58196168,49.481645,8.478822,49.479693,8.471489,243
339485,276163348,49.478512,8.482561,49.480781,8.469247,243
339343,30612225,49.49707,8.473044,49.497065,8.492131,243
4915747,28450544,49.485698,8.473613,49.475967,8.483157,242
339352,339468,49.497225,8.457751,49.484576,8.459859,241
339352,276163348,49.497225,8.457751,49.480781,8.469247,241
660943,58196168,49.474329,8.486944,49.479693,8.471489,239
339350,4726808,49.506903,8.492206,49.473472,8.53399,238
30612203,33282192,49.4945,8.459644,49.489671,8.466929,238
339346,29964359,49.497263,8.483832,49.484387,8.473963,237
7853258,276163348,49.492344,8.482906,49.480781,8.469247,237
339346,148606240,49.497263,8.483832,49.484796,8.462552,237
339343,339464,49.49707,8.473044,49.489012,8.462997,236
28450544,148606240,49.475967,8.483157,49.484796,8.462552,236
